C02173V02619,Area of Residence,TLIST(Q1),Quarter,STATISTIC,Statistic Label,UNIT,VALUE
ZZEURQ06,Other Europe (14),20143,2014Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,425
ZZEURQ06,Other Europe (14),20143,2014Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.7
ZZEURQ06,Other Europe (14),20143,2014Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,226
ZZEURQ06,Other Europe (14),20144,2014Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,302
ZZEURQ06,Other Europe (14),20144,2014Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.9
ZZEURQ06,Other Europe (14),20144,2014Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,131
ZZEURQ06,Other Europe (14),20151,2015Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,292
ZZEURQ06,Other Europe (14),20151,2015Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.4
ZZEURQ06,Other Europe (14),20151,2015Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,117
ZZEURQ06,Other Europe (14),20152,2015Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,415
ZZEURQ06,Other Europe (14),20152,2015Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.2
ZZEURQ06,Other Europe (14),20152,2015Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,192
ZZEURQ06,Other Europe (14),20153,2015Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,501
ZZEURQ06,Other Europe (14),20153,2015Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.1
ZZEURQ06,Other Europe (14),20153,2015Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,301
ZZEURQ06,Other Europe (14),20154,2015Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,380
ZZEURQ06,Other Europe (14),20154,2015Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.5
ZZEURQ06,Other Europe (14),20154,2015Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,161
ZZEURQ06,Other Europe (14),20161,2016Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,336
ZZEURQ06,Other Europe (14),20161,2016Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.6
ZZEURQ06,Other Europe (14),20161,2016Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,137
ZZEURQ06,Other Europe (14),20162,2016Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,476
ZZEURQ06,Other Europe (14),20162,2016Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.2
ZZEURQ06,Other Europe (14),20162,2016Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,208
ZZEURQ06,Other Europe (14),20163,2016Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,562
ZZEURQ06,Other Europe (14),20163,2016Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.7
ZZEURQ06,Other Europe (14),20163,2016Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,324
ZZEURQ06,Other Europe (14),20164,2016Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,400
ZZEURQ06,Other Europe (14),20164,2016Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8
ZZEURQ06,Other Europe (14),20164,2016Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,151
ZZEURQ06,Other Europe (14),20171,2017Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,329
ZZEURQ06,Other Europe (14),20171,2017Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.1
ZZEURQ06,Other Europe (14),20171,2017Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,121
ZZEURQ06,Other Europe (14),20172,2017Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,546
ZZEURQ06,Other Europe (14),20172,2017Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.4
ZZEURQ06,Other Europe (14),20172,2017Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,250
ZZEURQ06,Other Europe (14),20173,2017Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,568
ZZEURQ06,Other Europe (14),20173,2017Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.8
ZZEURQ06,Other Europe (14),20173,2017Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,316
ZZEURQ06,Other Europe (14),20174,2017Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,445
ZZEURQ06,Other Europe (14),20174,2017Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.8
ZZEURQ06,Other Europe (14),20174,2017Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,196
ZZEURQ06,Other Europe (14),20181,2018Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,380
ZZEURQ06,Other Europe (14),20181,2018Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8
ZZEURQ06,Other Europe (14),20181,2018Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,151
ZZEURQ06,Other Europe (14),20182,2018Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,573
ZZEURQ06,Other Europe (14),20182,2018Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.5
ZZEURQ06,Other Europe (14),20182,2018Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,262
ZZEURQ06,Other Europe (14),20183,2018Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,605
ZZEURQ06,Other Europe (14),20183,2018Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.2
ZZEURQ06,Other Europe (14),20183,2018Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,300
ZZEURQ06,Other Europe (14),20184,2018Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,462
ZZEURQ06,Other Europe (14),20184,2018Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8
ZZEURQ06,Other Europe (14),20184,2018Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,176
ZZEURQ06,Other Europe (14),20191,2019Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,413
ZZEURQ06,Other Europe (14),20191,2019Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.4
ZZEURQ06,Other Europe (14),20191,2019Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,148
ZZEURQ06,Other Europe (14),20192,2019Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,588
ZZEURQ06,Other Europe (14),20192,2019Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.9
ZZEURQ06,Other Europe (14),20192,2019Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,285
ZZEURQ06,Other Europe (14),20193,2019Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,619
ZZEURQ06,Other Europe (14),20193,2019Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8
ZZEURQ06,Other Europe (14),20193,2019Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,323
ZZEURQ06,Other Europe (14),20194,2019Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,509
ZZEURQ06,Other Europe (14),20194,2019Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.4
ZZEURQ06,Other Europe (14),20194,2019Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,203
ZZWORX18,Other countries (18),20121,2012Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,44
ZZWORX18,Other countries (18),20121,2012Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,16.3
ZZWORX18,Other countries (18),20121,2012Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,30
ZZWORX18,Other countries (18),20122,2012Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,61
ZZWORX18,Other countries (18),20122,2012Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,13.7
ZZWORX18,Other countries (18),20122,2012Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,42
ZZWORX18,Other countries (18),20123,2012Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,68
ZZWORX18,Other countries (18),20123,2012Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,13.9
ZZWORX18,Other countries (18),20123,2012Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,48
ZZWORX18,Other countries (18),20124,2012Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,51
ZZWORX18,Other countries (18),20124,2012Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.9
ZZWORX18,Other countries (18),20124,2012Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,35
ZZWORX18,Other countries (18),20131,2013Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,43
ZZWORX18,Other countries (18),20131,2013Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,15.7
ZZWORX18,Other countries (18),20131,2013Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,27
ZZWORX18,Other countries (18),20132,2013Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,61
ZZWORX18,Other countries (18),20132,2013Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.6
ZZWORX18,Other countries (18),20132,2013Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,45
ZZWORX18,Other countries (18),20133,2013Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,86
ZZWORX18,Other countries (18),20133,2013Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,15.6
ZZWORX18,Other countries (18),20133,2013Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,68
ZZWORX18,Other countries (18),20134,2013Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,59
ZZWORX18,Other countries (18),20134,2013Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,13.5
ZZWORX18,Other countries (18),20134,2013Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,52
ZZWORX18,Other countries (18),20141,2014Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,51
ZZWORX18,Other countries (18),20141,2014Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,16
ZZWORX18,Other countries (18),20141,2014Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,44
ZZWORX18,Other countries (18),20142,2014Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,71
ZZWORX18,Other countries (18),20142,2014Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,17.4
ZZWORX18,Other countries (18),20142,2014Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,71
ZZWORX18,Other countries (18),20143,2014Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,98
ZZWORX18,Other countries (18),20143,2014Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,13.5
ZZWORX18,Other countries (18),20143,2014Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,78
ZZWORX18,Other countries (18),20144,2014Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,64
ZZWORX18,Other countries (18),20144,2014Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,13
ZZWORX18,Other countries (18),20144,2014Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,52
ZZWORX18,Other countries (18),20151,2015Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,57
ZZWORX18,Other countries (18),20151,2015Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,14.8
ZZWORX18,Other countries (18),20151,2015Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,43
ZZWORX18,Other countries (18),20152,2015Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,85
ZZWORX18,Other countries (18),20152,2015Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,14.3
ZZWORX18,Other countries (18),20152,2015Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,72
ZZWORX18,Other countries (18),20153,2015Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,108
ZZWORX18,Other countries (18),20153,2015Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,15.2
ZZWORX18,Other countries (18),20153,2015Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,92
ZZWORX18,Other countries (18),20154,2015Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,82
ZZWORX18,Other countries (18),20154,2015Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,15.9
ZZWORX18,Other countries (18),20154,2015Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,75
ZZWORX18,Other countries (18),20161,2016Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,64
ZZWORX18,Other countries (18),20161,2016Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,18
ZZWORX18,Other countries (18),20161,2016Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,60
ZZWORX18,Other countries (18),20162,2016Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,86
ZZWORX18,Other countries (18),20162,2016Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,15.3
ZZWORX18,Other countries (18),20162,2016Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,79
ZZWORX18,Other countries (18),20163,2016Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,117
ZZWORX18,Other countries (18),20163,2016Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,15.2
ZZWORX18,Other countries (18),20163,2016Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,112
ZZWORX18,Other countries (18),20164,2016Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,79
ZZWORX18,Other countries (18),20164,2016Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,14.5
ZZWORX18,Other countries (18),20164,2016Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,68
ZZWORX18,Other countries (18),20171,2017Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,76
ZZWORX18,Other countries (18),20171,2017Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,16.5
ZZWORX18,Other countries (18),20171,2017Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,61
ZZWORX18,Other countries (18),20172,2017Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,115
ZZWORX18,Other countries (18),20172,2017Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,12
ZZWORX18,Other countries (18),20172,2017Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,92
ZZWORX18,Other countries (18),20173,2017Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,135
ZZWORX18,Other countries (18),20173,2017Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,14.7
ZZWORX18,Other countries (18),20173,2017Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,137
ZZWORX18,Other countries (18),20174,2017Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,85
ZZWORX18,Other countries (18),20174,2017Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,20.3
ZZWORX18,Other countries (18),20174,2017Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,81
ZZWORX18,Other countries (18),20181,2018Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,78
ZZWORX18,Other countries (18),20181,2018Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,19.1
ZZWORX18,Other countries (18),20181,2018Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,76
ZZWORX18,Other countries (18),20182,2018Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,112
ZZWORX18,Other countries (18),20182,2018Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11
ZZWORX18,Other countries (18),20182,2018Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,98
ZZWORX18,Other countries (18),20183,2018Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,149
ZZWORX18,Other countries (18),20183,2018Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,15.2
ZZWORX18,Other countries (18),20183,2018Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,123
ZZWORX18,Other countries (18),20184,2018Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,94
ZZWORX18,Other countries (18),20184,2018Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,13.4
ZZWORX18,Other countries (18),20184,2018Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,72
ZZWORX18,Other countries (18),20191,2019Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,88
ZZWORX18,Other countries (18),20191,2019Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,15.9
ZZWORX18,Other countries (18),20191,2019Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,70
ZZWORX18,Other countries (18),20192,2019Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,127
ZZWORX18,Other countries (18),20192,2019Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.7
ZZWORX18,Other countries (18),20192,2019Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,107
ZZWORX18,Other countries (18),20193,2019Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,155
ZZWORX18,Other countries (18),20193,2019Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,13.1
ZZWORX18,Other countries (18),20193,2019Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,119
ZZWORX18,Other countries (18),20194,2019Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,103
ZZWORX18,Other countries (18),20194,2019Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,14.2
ZZWORX18,Other countries (18),20194,2019Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,80
