C02173V02619,Area of Residence,TLIST(Q1),Quarter,STATISTIC,Statistic Label,UNIT,VALUE
DE,Germany,20163,2016Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,159
DE,Germany,20164,2016Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,133
DE,Germany,20164,2016Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.9
DE,Germany,20164,2016Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,63
DE,Germany,20171,2017Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,99
DE,Germany,20171,2017Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.4
DE,Germany,20171,2017Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,40
DE,Germany,20172,2017Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,210
DE,Germany,20172,2017Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.5
DE,Germany,20172,2017Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,135
DE,Germany,20173,2017Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,225
DE,Germany,20173,2017Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.8
DE,Germany,20173,2017Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,146
DE,Germany,20174,2017Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,148
DE,Germany,20174,2017Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.7
DE,Germany,20174,2017Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,78
DE,Germany,20181,2018Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,130
DE,Germany,20181,2018Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.5
DE,Germany,20181,2018Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,55
DE,Germany,20182,2018Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,245
DE,Germany,20182,2018Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.5
DE,Germany,20182,2018Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,153
DE,Germany,20183,2018Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,271
DE,Germany,20183,2018Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.3
DE,Germany,20183,2018Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,175
DE,Germany,20184,2018Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,172
DE,Germany,20184,2018Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.1
DE,Germany,20184,2018Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,85
DE,Germany,20191,2019Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,133
DE,Germany,20191,2019Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.7
DE,Germany,20191,2019Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,53
DE,Germany,20192,2019Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,246
DE,Germany,20192,2019Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.7
DE,Germany,20192,2019Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,150
DE,Germany,20193,2019Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,264
DE,Germany,20193,2019Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.7
DE,Germany,20193,2019Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,163
DE,Germany,20194,2019Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,170
DE,Germany,20194,2019Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.1
DE,Germany,20194,2019Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,80
FR,France,20121,2012Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,67
